Student ID,Peer Review 1 Title,Peer Review 1 Filename,Peer Review 2 Title,Peer Review 2 Filename
6452697,Exploration and Resource Optimization for Autonomous Rover Missions,133.pdf,Q-Learning for the Secretary Problem,267.pdf
6745949,Managing Power Grids During Hurricanes Using Probabilistic Decision-Making,178.pdf,Autonomous Lunar Landing with Deep Q-Learning,191.pdf
6605093,Securing Carbon Geological Storage: A Sequential Decision Approach for CO2 Monitoring and Leak Detection,256.pdf,"Attitude Determination and Control for a Spacecraft with
Unreliable State Measurements",063.pdf
6541040,SmartConnections: Using Q-Learning to Solve The NYT Connections,009.pdf,"Multi-Robot Navigation Using Sequential Decision
Making Processes",049.pdf
6525387,Decision Making Under Uncertainty in Secret Hitler,231.pdf,Optimizing Theme Park Experience Using POMDPs,004.pdf
6347565,"Kidney Matching: A Reinforcement Learning Approach
",209.pdf,Over(Q)ooked: Developing Q-Learning Agents for Overcooked,147.pdf
6456198,Safe Multi-Agent Spacecraft Reconfiguration Under Uncertainty,050.pdf,Lunar Landing,183.pdf
6380013,AeroAstro Work-Life Balance: How to Maximize Your AA 228 Quiz Scores,012.pdf,RoboDelivery: A Q-Learning Approach to Autonomous Package Distribution,186.pdf
6745813,Cool Maze Searcher - Reinforcement Learning in 3D Robot Maze Navigation,108.pdf,QRaFT: Quantitative and Risk-Adjusted Framework for Algorithmic Trading,192.pdf
6778204,Optimal Policies for Competition Power-Off Landings in Varying Wind Conditions with Markov Decision Processes,276.pdf,"Modeling Renewable Energy Transitions as a Markov Decision Process:
A Q-Learning approach to minimizing fossil-fuel reliance while meeting energy demands",088.pdf
6742694,Optimizing Decision-Making in Open Face Chinese Poker Using Monte Carlo Tree Search,275.pdf,Navigating the Star Wars: Deep Reinforcement Learning for Competitive Team Battles!,140.pdf
6743588,Building Renewable Energy Grids using Monte Carlo Tree Search and Karger's Algorithm,163.pdf,"Playing Regicide: Optimal Game Play in Uncertain
Environments",206.pdf
6653492,Robust Path-Planning for Autonomous Drones,263.pdf,Stock trading with deep q-learning,130.pdf
6512040,Solving Plants vs Zombies with Monte Carlo Tree Search,176.pdf,Computational Approaches to Optimize HIV Treatment Strategies Using Synthetic Data,235.pdf
6509510,Invasive Species,045.pdf,Satellite Task Scheduling using Markov Decision Process,215.pdf
6420763,Reducing Patient No-Shows through Q-Learning Optimized Scheduling,131.pdf,Exploring Deep Behavioral Cloning with Synthetic Expert Data for 2048,005.pdf
6481153,Baba Is Who? Using Q-Learning to Categorize Human Learning in a Puzzle Game (almost),251.pdf,A Decision-Making Model of Multi-target Reaching in Motor Neuroscience,106.pdf
6454620,Guess Who Wins Guess Who?,107.pdf,Modeling Human Behavior in Poker,101.pdf
6455371,POMDP Navigation performance for Orienteering,081.pdf,What the Heck is Optimal: MCTS and Q-Learning for Strategic Bidding,210.pdf
6510003,Cracking the Connections Game,078.pdf,To GNN or to LLM? That is a Risk(y) Question,142.pdf
6453371,Optimized helicopter ambulance routing for stroke patients,072.pdf,Dynamic Frequency Band Selection for Radar Operation in the Presence of Interference,066.pdf
6622816,Ability of DQN Model to Learn Theory of Mind when Playing Hanabi,071.pdf,Optimizing Electricity Futures Trading with Reinforcement Learning and Deep Learning Driven Price Forecasting,090.pdf
6456675,Meow-kov Decisions: Reward Functions for an Exploding Kittens MDP,219.pdf,Graph Reinforcement Learning for the Traveling Salesman Problem with Stochastic Travel Times,213.pdf
6750948,PokerBot,034.pdf,Optimizing Job Applications Under Uncertainty,043.pdf
6757174,Monadic Hierarchical Planning in Tactical Simulations: A Q-Learning Framework for Strategic Unit Composition and Placement,226.pdf,"""Monkey!"": Blackjack Decision-Making Agent",127.pdf
6757581,When to Assist and Retrain? Learning Policies for Algorithmic Decision Support,197.pdf,Catan Conqueror: Building Bots to Rule the Island,242.pdf
6633650,A Love Letter to Game Playing,169.pdf,Mastering Pong with Deep Q-Learning,126.pdf
6343769,Reinforcement Earning: RL-based Algorithmic Trading,253.pdf,Going Bananas for Uncertainty: Creating a Bananagrams Agent with MCTS,190.pdf
6855651,Solving Investiture: A Stock Exchange Game,030.pdf,Reinforcement Learning Control of Active Suspension System,044.pdf
6504277,What the Farkle!?,017.pdf,Connect Four Conundrum,181.pdf
6603077,Learning Greenification Policies using Markov Decision Processes,095.pdf,Diagnostic Imaging in Radiology: Developing a Deep Learning Decision Support Tool,243.pdf
6504480,Freshman Year Class Selection as an MDP,224.pdf,"Optimal Regatta Sailing Strategy Under Uncertain Wind
and Competitor Positions",037.pdf
6344267,TSUD: Enhancing Stereo Matching Accuracy through Training on Small Uncertainty Data,155.pdf,"Water Contract Purchasing Policies for Drought Resilience
in Santiago, Chile",174.pdf
9625340,Heads Up Deep Q Hold-em,118.pdf,Q-Learning and Model Predictive Control for Drone Wildfire Response,141.pdf
6836715,Fruitful Learning: Applying RL Algorithms to Suika Game,164.pdf,Bots and Boxes: AlphaZero for Playing Dots and Boxes,046.pdf
6849222,WiLDCARD: Winning Liar's Dice with Calculative Agents and Reinforced Decision-Making,258.pdf,Playing with Fireworks: Optimizing Agent Strategy Under Uncertainty in Hanabi,162.pdf
6382324,"Department-Side Course Scheduling to Maximize
Student Satisfaction",022.pdf,WORDLE Solver,227.pdf
6846057,Training an Up'N Down Agent with DDQN,150.pdf,Ear Training Suite for Music Students,116.pdf
6846434,Employing Monte Carlo Tree Search for Aircraft Collision Avoidance during Temporary Flight Restrictions,157.pdf,Adaptive Satellite Selection for GNSS Tracking Using Reinforcement Learning,271.pdf
6468941,Large language model alignment via two-layer neural network feedback,029.pdf,Optimizing Cabo Strategy with Monte Carlo Tree Search Applied to a Novel Game Engine,098.pdf
6757411,Introspection for LLM Sampling,207.pdf,Drone Path Planning for Optimizing Environmental Neural Radiance Field Creation.,057.pdf
50012200,Reinforcement Learning Algorithms for Connect 4,232.pdf,Reinforcement Learning Stacking Strategy for Stock Trading,175.pdf
6393278,Keeping the Lights On for Campus: Using Deep Q-Learning and MDPs for Discrete and Continuous Micro-Energy Grid Optimization,180.pdf,Looking Forward To Tetris,002.pdf
6778099,Ataxx of the Monte Carlo: Online and Offline Learning Strategies for an Arcade Game,189.pdf,Leveraging Q-Learning for Uncertainty within Medical Diagnosis,102.pdf
6739500,Pitch Perfect: Optimizing Baseball Pitch Selection With Reinforcement Learning,266.pdf,Anticipating the Odds: A Lookahead Method for Blackjack Actor Development,137.pdf
6319203,Multi-Robot Path Planning in a Grid World,143.pdf,Dynamic Optimization and Balancing of Winning Strategies in Mahjong Using MCTS,240.pdf
6855642,Q-Learning-Driven Actuation for High-Precision Space Trusses,135.pdf,Modeling Stanford Football Betting as a Markov Decision Process,023.pdf
6379252,Fast Speculative Decoding using MDPs for Efficient Token Drafting,182.pdf,Reward Prediction Error Under Uncertainty,083.pdf
6735652,Fresh Pages: Dynamic Book Recommendation for Genre Exploration using Monte Carlo Tree Search,239.pdf,Tactile Graphics Exploration as a POMDP,246.pdf
6335142,Unbeatable Checkers Bot 9000,268.pdf,Reinforcement Learning Agent for Cine2Nerdle: A Graph-Based Approach,122.pdf
6417074,RL For Self Guided Rocket Landings,196.pdf,Optimizing Trading Strategies with MDPs,016.pdf
6422870,"Building No-Limit Texas Hold
‘Em Poker Agents
with Deep Q-Learning and 
Proximal Policy Optimization",172.pdf,Wheel of Fortune as a POMDP,202.pdf
6504189,"Stanford Campus Smart Traffic
Control",007.pdf,Online Path-Planning for Terrain Navigation Using MCTS,115.pdf
6512336,Settling On A Better Method for Training Catan-Playing Agents,194.pdf,Deep Q-learning on 3D 2048,261.pdf
6504508,Evade me if you can!!,092.pdf,ParkFinder - Tackling Uncertainty in Finding Parking at Stanford University,055.pdf
6057096,Blackjack: Playing Optimally Through Q-Learning,187.pdf,Adaptive Stock Trading with Reinforcement Learning,228.pdf
6756966,Dynamical Tasks Planner,212.pdf,SupeRL Mario Bros,222.pdf
6846842,"BlackJack: Q-Learning, SARSA, and Deep Q-Learning Approaches",010.pdf,"Pick Your Poison: Navigating the Paris Public Transportation System Using Monte Carlo Tree Search
",082.pdf
