Title,Filenames
Ambulance Dispatching  with MCTS,001.pdf
Looking Forward To Tetris,002.pdf
Optimal Shipping Schedules for Collaborating Blood Banks,003.pdf
Optimizing Theme Park Experience Using POMDPs,004.pdf
Exploring Deep Behavioral Cloning with Synthetic Expert Data for 2048,005.pdf
"Deep-Q + Friends: An Agent-based Multi-modal
Q-learning Framework for Vision-Language
Biomedical Annotators",006.pdf
"Stanford Campus Smart Traffic
Control",007.pdf
"Optimizing Personalized Treatment with Markov
Decision Processes",008.pdf
SmartConnections: Using Q-Learning to Solve The NYT Connections,009.pdf
"BlackJack: Q-Learning, SARSA, and Deep Q-Learning Approaches",010.pdf
Model Based State-Space Planning and EKF for Manipulator Arm Drone Guidance in a Partially Observable Environment,011.pdf
AeroAstro Work-Life Balance: How to Maximize Your AA 228 Quiz Scores,012.pdf
MDPs for Fire Response,013.pdf
Path to 101: A Guided Q-Learning Simulation for Prime Climb,014.pdf
Imaginary-MCTS: Autonomous Computer Use Agents with Enhanced Online Planning,015.pdf
Optimizing Trading Strategies with MDPs,016.pdf
What the Farkle!?,017.pdf
Santa Barbara Infrastructure Planning: A Comparison of Q-Learning and Evolutionary Algorithm - Binary Tree Search Policy Optimization,018.pdf
"TerraSafeRL: Adaptive Single-Agent, Terrain-Aware Wildfire Evacuation with Dynamic Pathfinding",019.pdf
Belief Space Planning under Uncertainty with the Cross-Entropy Method,020.pdf
Evaluating Wordle Strategies Produced by Monte Carlo Tree Search,021.pdf
"Department-Side Course Scheduling to Maximize
Student Satisfaction",022.pdf
Modeling Stanford Football Betting as a Markov Decision Process,023.pdf
"Winner Winner Chicken Dinner: Reward Shaping for A2C
Applied to Atari Freeway",024.pdf
A Markovian Approach to Skincare,025.pdf
Optimizing Investment Decisions in the Airline Industry Using Random Forest Models,026.pdf
DPO Training for Mathematical Problem Solving,027.pdf
RoadSense: Intelligent Agents for Traffic Navigation,028.pdf
Large language model alignment via two-layer neural network feedback,029.pdf
Solving Investiture: A Stock Exchange Game,030.pdf
Tetris: Game Playing Under Uncertainty,031.pdf
Predicting Precipitation with Actor-Critic and Long Short-Term Memory,032.pdf
Learning to Play the Oh Pshaw Card Game using a Reinforcement Learning Agent,033.pdf
PokerBot,034.pdf
Martian Navigation POMDP,035.pdf
Adaptive Mesh Refinement through Deep Reinforcement Learning,036.pdf
"Optimal Regatta Sailing Strategy Under Uncertain Wind
and Competitor Positions",037.pdf
Monopoly Masterminds One Tile at a Time,038.pdf
Smart Picks – A Q-Learning Approach to Cinema,039.pdf
Using LLMs and Monte Carlo Tree Search to Create a Human-Level Codenames Player,040.pdf
Determining Context-Based Hard-Negative Policies with Online Planning for Biodiversity Monitoring,041.pdf
"Monte Carlo Tree Search for Drone Navigation and Collision Prevention
",042.pdf
Optimizing Job Applications Under Uncertainty,043.pdf
Reinforcement Learning Control of Active Suspension System,044.pdf
Invasive Species,045.pdf
Bots and Boxes: AlphaZero for Playing Dots and Boxes,046.pdf
Evaluation of Application of Maximum Likeilhood Estimation Models to Mancala,047.pdf
RL Approaches to Optimize Supply Chain Dynamics in the Beer Game,048.pdf
"Multi-Robot Navigation Using Sequential Decision
Making Processes",049.pdf
Safe Multi-Agent Spacecraft Reconfiguration Under Uncertainty,050.pdf
How to form a 2D murmuration? Finding the best strategy of flock formation through reinforcement learning,051.pdf
Safe Handling of Intersection Events under other agents’ Latent Driving styles (SHIELD),052.pdf
Optimizing Sea Lice Management in Norwegian Salmon Aquaculture Using Q-Learning,053.pdf
Hit or Stand?,054.pdf
ParkFinder - Tackling Uncertainty in Finding Parking at Stanford University,055.pdf
"Flying in the Dark – Drone Swarm Navigation with Uncertain Communication and Vision
",056.pdf
Drone Path Planning for Optimizing Environmental Neural Radiance Field Creation.,057.pdf
Spades is a POMDP,058.pdf
Optimizing Task Completion Time Updates Using POMDPs,059.pdf
Connect4 MCTS Implementation,060.pdf
Game of Wordle: AI-Driven Word Guessing,061.pdf
Wordle MCS: An Improved Wordle Solver,062.pdf
